"ig_name","name","followers","following","avg_likes","avg_comments","avg_engagements","est_er"
jefannathanio,Jefan Nathanio,283876,2099,17420.416666666668,725.0,18145.416666666668,6.39202210354756
febriihikaru,Febri |🇮🇩 Influencer,90138,1092,3646.0833333333335,43.083333333333336,3689.1666666666665,4.092798449784405
wilyalam,Wilya Carlina🌻,94177,3440,6790.5,9.333333333333334,6799.833333333333,7.220269634128644
gerickmanalo,Chef Gerick Manalo,101145,238,3517.0833333333335,23.416666666666668,3540.5,3.5004201888378073
donnavisca,Mutiara Donna Visca,144081,637,6623.083333333333,79.08333333333333,6702.166666666667,4.651665845369387
djmissyjay,Missy Jay,211770,1197,14259.25,159.58333333333334,14418.833333333334,6.808723300436008
mondeamore,,55329,3673,860.9166666666666,73.41666666666667,934.3333333333334,1.6886864633977359
maytonbacon,Mayton Eugenio 🔮,57623,1549,623.0,7.75,630.75,1.0946149974836437
nagawa.lvj,Nagawa 奈川,57788,132,2650.25,30.083333333333332,2680.3333333333335,4.638217853764334
limmariane,MARIANE LIM,61514,2589,858.9166666666666,47.0,905.9166666666666,1.4726999815760098
ditaloleeee,GUDANG KADO UNIK sf 20.000,61502,9,50.583333333333336,0.3333333333333333,50.916666666666664,0.0827886355999263
carlosdnobrega,Carlos Nóbrega,73386,40,5752.166666666667,0.9166666666666666,5753.083333333333,7.839483461877379
boofermin,Boo Fermin,74166,786,2011.75,37.916666666666664,2049.6666666666665,2.7636203471491876
therealsyai,Syaidatul Zulaikha™,78884,199,1682.4166666666667,3.6666666666666665,1686.0833333333333,2.137421192299241
gadgetmatch,GadgetMatch,78988,172,1054.0833333333333,14.583333333333334,1068.6666666666667,1.3529481271416752
miguelgione,Miguel Gione,80059,1660,3150.25,52.166666666666664,3202.4166666666665,4.000070781132248
_goldenboyyy,_goldenboiii,0,0,0,0,0,0
ridhwan332,Ridhwan,4,0,0,0,0,0
dipo8079,Dipo Dipo,0,0,0,0,0,0
muh.aldi8,MUH.ALDI,0,7,0,0,0,0
